h,Y,M,D,H,GG,GD,GB,GN,T,RV,H,PS,U,D,N,R,h
1,2003,1,1,1,0,0,0,0,-9,83,29,475,30,135,10,0,6.31
2,2003,1,1,2,0,0,0,0,-8,83,30,479,30,135,10,0,6.66
3,2003,1,1,3,0,0,0,0,-7,86,31,500,20,135,10,0,7.01
4,2003,1,1,4,0,0,0,0,-3,86,32,514,20,135,10,0,7.67
5,2003,1,1,5,0,0,0,0,-1,88,33,534,30,158,10,0,8.12
6,2003,1,1,6,0,0,0,0,0,89,34,544,30,158,10,0,8.47
7,2003,1,1,7,0,0,0,0,2,89,34,552,30,180,10,0,8.67
8,2003,1,1,8,0,0,0,0,5,90,35,570,30,158,10,0,9.22
9,2003,1,1,9,0,0,0,0,10,92,37,605,40,180,10,0,10.23
10,2003,1,1,10,3,3,0,0,13,93,39,624,50,180,10,0,11.03
11,2003,1,1,11,14,14,0,1,15,92,39,627,50,158,10,11,11.24
12,2003,1,1,12,17,17,0,1,15,96,40,654,50,135,10,25,11.48
13,2003,1,1,13,19,19,0,1,21,97,43,690,50,135,10,23,12.84
14,2003,1,1,14,14,14,0,1,36,98,48,775,50,158,10,5,15.61
15,2003,1,1,15,8,8,0,0,47,98,52,837,50,158,10,5,17.73
16,2003,1,1,16,3,3,0,0,69,99,61,985,60,180,10,15,22.22
17,2003,1,1,17,0,0,0,0,87,98,68,1103,60,203,10,34,25.8
18,2003,1,1,18,0,0,0,0,95,97,72,1152,50,203,10,5,27.62
19,2003,1,1,19,0,0,0,0,99,97,74,1183,60,203,10,4,28.53
20,2003,1,1,20,0,0,0,0,102,95,73,1182,60,203,10,10,28.59
21,2003,1,1,21,0,0,0,0,106,94,75,1202,80,225,10,24,29.5
22,2003,1,1,22,0,0,0,0,108,95,76,1231,70,248,10,3,29.95
23,2003,1,1,23,0,0,0,0,103,95,74,1190,70,248,10,3,28.94
24,2003,1,1,24,0,0,0,0,105,96,76,1219,60,270,10,2,29.65
25,2003,1,2,1,0,0,0,0,102,96,74,1195,40,248,9,2,28.84
26,2003,1,2,2,0,0,0,0,100,97,74,1191,40,248,9,0,28.64
27,2003,1,2,3,0,0,0,0,103,95,74,1190,50,248,9,0,28.94
28,2003,1,2,4,0,0,0,0,99,96,73,1171,40,248,9,9,28.28
29,2003,1,2,5,0,0,0,0,98,97,73,1175,50,248,9,2,28.18
30,2003,1,2,6,0,0,0,0,94,98,72,1156,40,225,9,5,27.52
31,2003,1,2,7,0,0,0,0,95,98,72,1164,40,225,9,2,27.62
32,2003,1,2,8,0,0,0,0,94,97,71,1144,50,225,9,0,27.27
33,2003,1,2,9,0,0,0,0,90,96,68,1102,40,225,9,0,26.11
34,2003,1,2,10,8,8,0,2,93,95,69,1113,30,203,9,0,26.67
35,2003,1,2,11,14,14,0,1,88,96,67,1087,30,158,9,7,25.66
36,2003,1,2,12,17,17,0,1,86,97,67,1084,40,180,9,45,25.45
37,2003,1,2,13,33,32,1,3,86,98,68,1095,20,90,9,31,25.7
38,2003,1,2,14,11,11,0,0,87,98,68,1103,10,113,9,14,25.8
39,2003,1,2,15,14,14,0,1,97,98,73,1179,30,225,9,7,28.08
40,2003,1,2,16,6,6,0,0,95,98,72,1164,20,135,9,8,27.62
41,2003,1,2,17,0,0,0,0,98,97,73,1175,40,180,9,2,28.18
42,2003,1,2,18,0,0,0,0,99,95,72,1159,40,248,9,0,28.03
43,2003,1,2,19,0,0,0,0,99,95,72,1159,40,248,9,0,28.03
44,2003,1,2,20,0,0,0,0,99,93,70,1134,50,248,9,0,27.53
45,2003,1,2,21,0,0,0,0,90,93,66,1068,50,270,9,8,25.61
46,2003,1,2,22,0,0,0,0,78,94,62,995,80,293,9,22,23.38
47,2003,1,2,23,0,0,0,0,73,96,61,982,60,293,9,17,22.62
48,2003,1,2,24,0,0,0,0,77,97,63,1020,50,270,9,8,23.53
49,2003,1,3,1,0,0,0,0,79,93,61,991,50,270,9,0,23.24
50,2003,1,3,2,0,0,0,0,83,90,61,985,50,270,9,0,23.64
51,2003,1,3,3,0,0,0,0,81,91,61,983,50,270,9,0,23.44
52,2003,1,3,4,0,0,0,0,77,91,59,957,40,270,9,0,22.53
53,2003,1,3,5,0,0,0,0,57,95,54,870,10,315,9,0,19.24
54,2003,1,3,6,0,0,0,0,48,98,52,843,10,293,9,15,17.83
55,2003,1,3,7,0,0,0,0,54,98,54,879,20,360,9,2,18.94
56,2003,1,3,8,0,0,0,0,49,97,52,840,20,45,9,2,17.93
57,2003,1,3,9,0,0,0,0,46,95,50,806,10,45,9,0,17.13
58,2003,1,3,10,8,8,0,2,43,96,49,798,20,68,9,0,16.57
59,2003,1,3,11,33,32,1,7,44,95,49,795,20,45,9,0,16.67
60,2003,1,3,12,22,22,0,2,43,94,48,781,20,45,9,0,16.32
61,2003,1,3,13,42,41,1,5,43,93,48,773,20,68,9,0,16.32
62,2003,1,3,14,28,27,1,2,42,91,46,751,20,68,9,0,15.72
63,2003,1,3,15,36,35,1,6,42,93,47,767,20,45,9,0,15.97
64,2003,1,3,16,11,11,0,2,39,91,45,735,30,23,9,9,15.17
65,2003,1,3,17,0,0,0,0,36,94,46,743,30,23,9,0,15.11
66,2003,1,3,18,0,0,0,0,31,90,42,687,40,45,9,0,13.61
67,2003,1,3,19,0,0,0,0,30,92,43,697,20,45,9,0,13.75
68,2003,1,3,20,0,0,0,0,30,91,43,690,30,23,9,0,13.75
69,2003,1,3,21,0,0,0,0,24,92,41,668,30,23,9,0,12.65
70,2003,1,3,22,0,0,0,0,23,90,40,649,30,23,9,0,12.3
71,2003,1,3,23,0,0,0,0,18,90,39,626,40,45,9,0,11.54
72,2003,1,3,24,0,0,0,0,14,90,38,609,30,360,9,0,10.88
73,2003,1,4,1,0,0,0,0,10,87,35,572,40,45,9,0,9.73
74,2003,1,4,2,0,0,0,0,9,85,34,554,40,23,9,0,9.38
75,2003,1,4,3,0,0,0,0,4,79,31,497,30,45,9,0,8.13
76,2003,1,4,4,0,0,0,0,-3,84,31,502,30,23,9,0,7.42
77,2003,1,4,5,0,0,0,0,-5,78,28,460,40,23,9,0,6.47
78,2003,1,4,6,0,0,0,0,-8,75,27,432,40,23,9,0,5.92
79,2003,1,4,7,0,0,0,0,-14,79,27,436,40,23,9,0,5.31
80,2003,1,4,8,0,0,0,0,-16,79,26,430,40,23,9,0,4.86
81,2003,1,4,9,0,0,0,0,-19,80,26,425,20,23,9,0,4.56
82,2003,1,4,10,28,26,2,28,-16,82,27,446,30,23,9,0,5.11
83,2003,1,4,11,53,50,3,18,-12,76,26,426,50,45,9,0,5.26
84,2003,1,4,12,56,54,2,10,-10,70,25,398,40,23,9,0,5.22
85,2003,1,4,13,108,100,8,30,-9,75,26,429,50,23,9,0,5.57
86,2003,1,4,14,89,83,6,22,-8,71,25,409,50,23,9,0,5.42
87,2003,1,4,15,81,75,6,29,-8,72,26,415,60,23,9,0,5.67
88,2003,1,4,16,42,39,3,22,-12,71,25,398,60,45,9,0,5.01
89,2003,1,4,17,3,3,0,44,-14,69,23,381,60,23,9,0,4.31
90,2003,1,4,18,0,0,0,0,-13,72,25,400,50,23,9,0,4.91
91,2003,1,4,19,0,0,0,0,-14,73,25,403,50,45,9,0,4.81
92,2003,1,4,20,0,0,0,0,-20,74,24,391,40,45,9,0,3.96
93,2003,1,4,21,0,0,0,0,-28,80,25,398,30,23,9,0,3.4
94,2003,1,4,22,0,0,0,0,-36,85,25,398,20,360,9,0,2.59
95,2003,1,4,23,0,0,0,0,-4,86,32,511,20,23,9,0,7.57
96,2003,1,4,24,0,0,0,0,-45,87,23,381,20,23,9,0,1.18
97,2003,1,5,1,0,0,0,0,-57,88,22,352,10,23,9,0,-0.28
98,2003,1,5,2,0,0,0,0,-70,94,21,340,10,315,9,0,-1.84
99,2003,1,5,3,0,0,0,0,-72,96,21,342,0,360,9,0,-2.04
100,2003,1,5,4,0,0,0,0,-70,97,22,351,10,203,9,0,-1.59
101,2003,1,5,5,0,0,0,0,-68,97,22,357,10,248,9,0,-1.39
102,2003,1,5,6,0,0,0,0,-49,97,25,412,10,225,9,0,1.27
103,2003,1,5,7,0,0,0,0,-37,91,26,423,20,225,9,0,2.74
104,2003,1,5,8,0,0,0,0,-32,88,26,425,20,203,9,0,3.24
105,2003,1,5,9,0,0,0,0,-28,89,27,443,30,225,9,0,3.89
106,2003,1,5,10,6,6,0,1,-25,87,27,443,40,203,9,1,4.2
107,2003,1,5,11,8,8,0,0,-24,88,28,451,20,180,9,1,4.55
108,2003,1,5,12,61,58,3,12,-18,83,27,445,30,225,9,0,4.91
109,2003,1,5,13,117,108,9,35,-11,86,30,485,30,203,9,0,6.36
110,2003,1,5,14,97,90,7,26,-4,83,30,493,30,225,9,0,7.07
111,2003,1,5,15,114,94,20,98,0,84,32,513,30,225,8,0,7.97
112,2003,1,5,16,33,31,2,13,-2,88,33,530,20,248,9,0,8.02
113,2003,1,5,17,3,3,0,22,-8,94,33,542,20,225,9,0,7.41
114,2003,1,5,18,0,0,0,0,-11,96,33,542,20,225,9,0,7.11
115,2003,1,5,19,0,0,0,0,-8,97,35,559,30,225,9,0,7.91
116,2003,1,5,20,0,0,0,0,-12,97,34,543,20,248,9,0,7.25
117,2003,1,5,21,0,0,0,0,-18,97,32,520,20,225,9,2,6.15
118,2003,1,5,22,0,0,0,0,-13,98,34,545,30,248,9,0,7.15
119,2003,1,5,23,0,0,0,0,-16,98,33,533,10,203,9,0,6.6
120,2003,1,5,24,0,0,0,0,-11,99,34,558,20,270,9,0,7.36
121,2003,1,6,1,0,0,0,0,-16,99,33,538,20,225,6,5,6.6
122,2003,1,6,2,0,0,0,0,-2,99,37,596,20,315,6,3,9.01
123,2003,1,6,3,0,0,0,0,6,98,39,626,40,23,6,1,10.32
124,2003,1,6,4,0,0,0,0,-3,96,35,574,20,360,6,0,8.41
125,2003,1,6,5,0,0,0,0,-17,93,31,502,20,360,6,0,6
126,2003,1,6,6,0,0,0,0,-9,89,31,509,20,360,6,0,6.81
127,2003,1,6,7,0,0,0,0,-8,84,30,484,30,360,6,0,6.66
128,2003,1,6,8,0,0,0,0,-9,86,30,492,30,360,6,0,6.56
129,2003,1,6,9,0,0,0,0,-7,84,30,488,50,360,6,0,6.76
130,2003,1,6,10,28,26,2,27,-6,82,30,480,40,360,6,0,6.87
131,2003,1,6,11,119,76,43,251,-2,81,30,488,60,360,6,0,7.27
132,2003,1,6,12,172,104,68,291,3,79,30,493,50,23,5,0,7.78
133,2003,1,6,13,172,122,50,192,2,73,28,453,40,23,7,0,7.18
134,2003,1,6,14,192,109,83,326,-1,75,28,455,40,23,5,0,6.87
135,2003,1,6,15,133,95,38,186,-3,80,30,478,30,23,7,0,7.17
136,2003,1,6,16,50,46,4,29,-6,81,29,474,40,23,9,0,6.62
137,2003,1,6,17,8,7,1,57,-7,79,28,459,40,23,6,0,6.27
138,2003,1,6,18,0,0,0,0,-10,80,28,455,30,45,6,0,5.96
139,2003,1,6,19,0,0,0,0,-12,79,27,442,30,45,6,0,5.51
140,2003,1,6,20,0,0,0,0,-13,81,28,450,40,45,6,0,5.66
141,2003,1,6,21,0,0,0,0,-15,81,27,444,40,45,6,0,5.21
142,2003,1,6,22,0,0,0,0,-15,79,27,433,30,23,6,0,5.21
143,2003,1,6,23,0,0,0,0,-18,73,24,391,50,45,6,0,4.16
144,2003,1,6,24,0,0,0,0,-21,73,24,383,40,68,6,0,3.86
145,2003,1,7,1,0,0,0,0,-24,77,24,395,40,45,3,0,3.55
146,2003,1,7,2,0,0,0,0,-37,76,22,354,40,45,3,0,1.74
147,2003,1,7,3,0,0,0,0,-46,85,23,370,40,45,3,0,1.08
148,2003,1,7,4,0,0,0,0,-53,87,22,359,40,45,3,0,0.13
149,2003,1,7,5,0,0,0,0,-58,90,22,357,30,45,3,0,-0.38
150,2003,1,7,6,0,0,0,0,-63,91,21,348,30,45,3,0,-1.13
151,2003,1,7,7,0,0,0,0,-68,92,21,338,20,45,3,0,-1.64
152,2003,1,7,8,0,0,0,0,-76,93,20,322,20,45,3,0,-2.69
153,2003,1,7,9,0,0,0,0,-82,93,19,307,10,68,3,0,-3.55
154,2003,1,7,10,56,31,25,341,-78,93,19,317,20,68,5,0,-3.14
155,2003,1,7,11,50,47,3,15,-75,92,20,321,40,90,9,0,-2.59
156,2003,1,7,12,103,95,8,34,-64,88,21,334,30,68,9,0,-1.23
157,2003,1,7,13,219,106,113,428,-55,83,21,337,30,68,3,0,-0.32
158,2003,1,7,14,258,63,195,766,-48,78,21,334,30,45,0,0,0.38
159,2003,1,7,15,211,50,161,778,-51,80,21,335,30,68,0,0,0.08
160,2003,1,7,16,122,35,87,692,-51,81,21,339,20,45,0,0,0.08
161,2003,1,7,17,22,19,3,242,-48,80,21,343,20,23,3,0,0.38
162,2003,1,7,18,0,0,0,0,-48,81,21,347,20,45,3,0,0.38
163,2003,1,7,19,0,0,0,0,-47,83,22,358,30,45,3,0,0.73
164,2003,1,7,20,0,0,0,0,-46,83,22,361,20,68,3,0,0.83
165,2003,1,7,21,0,0,0,0,-44,77,21,340,20,68,3,0,0.79
166,2003,1,7,22,0,0,0,0,-43,76,21,338,10,45,3,0,0.89
167,2003,1,7,23,0,0,0,0,-42,77,21,345,20,90,3,0,0.99
168,2003,1,7,24,0,0,0,0,-39,74,21,339,30,90,3,0,1.29
169,2003,1,8,1,0,0,0,0,-45,83,22,364,20,90,9,0,0.93
170,2003,1,8,2,0,0,0,0,-46,85,23,370,20,45,9,0,1.08
171,2003,1,8,3,0,0,0,0,-46,87,23,378,20,45,9,0,1.08
172,2003,1,8,4,0,0,0,0,-47,89,24,384,20,68,9,0,1.23
173,2003,1,8,5,0,0,0,0,-46,88,24,383,20,68,9,0,1.33
174,2003,1,8,6,0,0,0,0,-45,83,22,364,20,68,9,0,0.93
175,2003,1,8,7,0,0,0,0,-45,81,22,355,40,90,9,0,0.93
176,2003,1,8,8,0,0,0,0,-46,79,21,343,30,90,9,0,0.58
177,2003,1,8,9,0,0,0,0,-48,77,20,330,30,68,9,0,0.13
178,2003,1,8,10,39,34,5,68,-47,72,19,311,40,90,9,0,-0.01
179,2003,1,8,11,56,53,3,19,-50,71,18,300,30,90,9,0,-0.56
180,2003,1,8,12,92,86,6,26,-51,70,18,293,40,90,9,0,-0.66
181,2003,1,8,13,150,124,26,98,-45,66,18,289,40,90,8,0,-0.06
182,2003,1,8,14,144,119,25,95,-40,61,17,277,40,90,8,0,0.2
183,2003,1,8,15,114,97,17,81,-43,60,16,267,40,68,8,0,-0.35
184,2003,1,8,16,42,40,2,19,-50,62,16,262,40,90,9,0,-1.06
185,2003,1,8,17,8,7,1,41,-58,68,17,270,30,68,9,0,-1.62
186,2003,1,8,18,0,0,0,0,-64,73,17,277,30,68,9,0,-2.22
187,2003,1,8,19,0,0,0,0,-68,76,17,279,40,68,9,0,-2.63
188,2003,1,8,20,0,0,0,0,-68,76,17,279,40,68,9,0,-2.63
189,2003,1,8,21,0,0,0,0,-73,76,17,269,30,68,9,0,-3.13
190,2003,1,8,22,0,0,0,0,-77,77,16,264,30,45,9,0,-3.78
191,2003,1,8,23,0,0,0,0,-82,80,16,264,40,45,9,0,-4.29
192,2003,1,8,24,0,0,0,0,-85,82,16,264,40,45,9,0,-4.59
193,2003,1,9,1,0,0,0,0,-87,83,16,263,40,45,1,0,-4.79
194,2003,1,9,2,0,0,0,0,-89,81,16,253,50,45,1,0,-5
195,2003,1,9,3,0,0,0,0,-91,79,15,243,40,45,1,0,-5.44
196,2003,1,9,4,0,0,0,0,-96,82,15,243,30,45,1,0,-5.95
197,2003,1,9,5,0,0,0,0,-96,81,15,240,40,45,1,0,-5.95
198,2003,1,9,6,0,0,0,0,-100,81,14,232,40,45,1,0,-6.6
199,2003,1,9,7,0,0,0,0,-100,81,14,232,40,45,1,0,-6.6
200,2003,1,9,8,0,0,0,0,-100,79,14,226,30,45,1,0,-6.6
201,2003,1,9,9,0,0,0,0,-100,80,14,229,30,45,1,0,-6.6
202,2003,1,9,10,50,35,15,205,-95,74,14,221,30,45,7,0,-6.1
203,2003,1,9,11,144,69,75,434,-78,68,14,231,40,45,3,0,-4.38
204,2003,1,9,12,222,78,144,600,-61,62,15,241,30,45,1,0,-2.42
205,2003,1,9,13,261,77,184,683,-43,53,15,236,30,45,0,0,-0.6
206,2003,1,9,14,253,74,179,690,-40,55,15,250,40,23,0,0,-0.3
207,2003,1,9,15,189,76,113,532,-44,56,15,247,30,23,2,0,-0.7
208,2003,1,9,16,117,46,71,543,-47,55,15,237,30,45,2,0,-1.01
209,2003,1,9,17,17,9,8,398,-58,63,15,250,20,23,1,0,-2.12
210,2003,1,9,18,0,0,0,0,-68,69,16,254,20,360,1,0,-2.88
211,2003,1,9,19,0,0,0,0,-69,69,15,252,30,23,1,0,-3.22
212,2003,1,9,20,0,0,0,0,-79,75,16,253,20,360,1,0,-3.99
213,2003,1,9,21,0,0,0,0,-95,80,15,238,10,68,1,0,-5.85
214,2003,1,9,22,0,0,0,0,-86,83,16,265,10,360,1,0,-4.69
215,2003,1,9,23,0,0,0,0,-76,78,17,270,10,68,1,0,-3.44
216,2003,1,9,24,0,0,0,0,-72,69,15,246,10,113,1,0,-3.53
217,2003,1,10,1,0,0,0,0,-65,66,15,248,10,158,7,0,-2.82
218,2003,1,10,2,0,0,0,0,-66,69,16,258,10,180,7,0,-2.67
219,2003,1,10,3,0,0,0,0,-65,81,19,305,10,180,7,0,-1.83
220,2003,1,10,4,0,0,0,0,-59,83,20,327,20,180,7,0,-0.98
221,2003,1,10,5,0,0,0,0,-57,77,19,308,30,180,7,0,-1.02
222,2003,1,10,6,0,0,0,0,-54,80,20,327,30,180,7,0,-0.47
223,2003,1,10,7,0,0,0,0,-55,81,20,329,30,158,7,0,-0.57
224,2003,1,10,8,0,0,0,0,-52,82,21,341,20,180,7,0,-0.02
225,2003,1,10,9,0,0,0,0,-47,83,22,358,20,158,7,0,0.73
226,2003,1,10,10,14,14,0,6,-45,75,20,329,20,158,7,0,0.44
227,2003,1,10,11,47,45,2,13,-38,66,19,305,20,158,9,0,0.9
228,2003,1,10,12,92,86,6,26,-32,64,19,309,20,135,9,0,1.5
229,2003,1,10,13,139,124,15,56,-28,62,19,308,30,135,9,0,1.91
230,2003,1,10,14,217,105,112,428,-15,56,19,307,30,113,3,0,3.22
231,2003,1,10,15,181,84,97,450,-17,61,20,329,50,90,3,0,3.27
232,2003,1,10,16,103,57,46,343,-18,65,21,348,30,113,5,0,3.41
233,2003,1,10,17,19,14,5,240,-19,67,22,356,30,68,7,0,3.56
234,2003,1,10,18,0,0,0,0,-31,72,22,350,30,90,7,0,2.35
235,2003,1,10,19,0,0,0,0,-35,74,22,349,30,68,7,0,1.94
236,2003,1,10,20,0,0,0,0,-40,77,22,350,30,90,7,0,1.44
237,2003,1,10,21,0,0,0,0,-48,80,21,343,20,90,7,0,0.38
238,2003,1,10,22,0,0,0,0,-52,85,22,353,20,68,7,0,0.23
239,2003,1,10,23,0,0,0,0,-67,86,20,319,20,68,7,0,-1.78
240,2003,1,10,24,0,0,0,0,-69,88,20,321,20,23,7,0,-1.99
241,2003,1,11,1,0,0,0,0,-83,92,19,301,10,23,1,0,-3.65
242,2003,1,11,2,0,0,0,0,-88,92,18,290,10,23,1,0,-4.4
243,2003,1,11,3,0,0,0,0,-87,93,18,295,10,23,1,0,-4.3
244,2003,1,11,4,0,0,0,0,-70,93,21,337,20,23,1,0,-1.84
245,2003,1,11,5,0,0,0,0,-94,92,17,276,10,23,1,0,-5.25
246,2003,1,11,6,0,0,0,0,-91,95,18,292,10,23,1,0,-4.7
247,2003,1,11,7,0,0,0,0,-93,95,18,288,20,23,1,0,-4.9
248,2003,1,11,8,0,0,0,0,-87,95,19,301,20,23,1,0,-4.05
249,2003,1,11,9,3,3,0,196,-86,93,18,297,10,45,1,0,-4.2
250,2003,1,11,10,108,48,60,766,-58,91,22,361,10,45,0,0,-0.38
251,2003,1,11,11,233,41,192,1084,-30,82,25,402,10,23,0,0,3.2
252,2003,1,11,12,272,48,224,919,-13,70,24,389,10,68,0,0,4.66
253,2003,1,11,13,264,80,184,672,3,65,25,406,20,158,0,0,6.53
254,2003,1,11,14,197,116,81,304,10,64,26,421,10,180,5,0,7.49
255,2003,1,11,15,169,93,76,348,4,65,25,409,10,180,5,0,6.63
256,2003,1,11,16,100,61,39,289,-3,70,26,419,20,180,5,0,6.17
257,2003,1,11,17,17,12,5,204,-21,78,25,409,10,225,1,0,4.1
258,2003,1,11,18,0,0,0,0,-35,85,25,401,20,225,1,0,2.69
259,2003,1,11,19,0,0,0,0,-34,89,26,423,20,225,1,0,3.04
260,2003,1,11,20,0,0,0,0,-24,87,27,446,20,203,1,0,4.3
261,2003,1,11,21,0,0,0,0,-19,84,28,447,20,225,1,0,5.05
262,2003,1,11,22,0,0,0,0,-15,79,27,433,30,248,1,0,5.21
263,2003,1,11,23,0,0,0,0,-27,82,25,411,20,248,1,0,3.5
264,2003,1,11,24,0,0,0,0,-23,86,27,444,20,225,1,0,4.4
265,2003,1,12,1,0,0,0,0,-39,85,24,390,10,203,6,0,2.04
266,2003,1,12,2,0,0,0,0,-53,93,24,383,20,225,6,0,0.62
267,2003,1,12,3,0,0,0,0,-60,94,23,367,10,225,6,0,-0.33
268,2003,1,12,4,0,0,0,0,-64,96,22,364,10,203,6,0,-0.99
269,2003,1,12,5,0,0,0,0,-68,95,22,349,20,203,6,0,-1.39
270,2003,1,12,6,0,0,0,0,-33,96,28,460,10,203,6,0,3.64
271,2003,1,12,7,0,0,0,0,-15,94,32,515,30,225,6,0,6.45
272,2003,1,12,8,0,0,0,0,-14,94,32,519,20,225,6,0,6.55
273,2003,1,12,9,0,0,0,0,2,92,35,571,20,225,6,0,8.92
274,2003,1,12,10,8,8,0,2,2,91,35,564,30,225,6,0,8.92
275,2003,1,12,11,28,27,1,4,5,89,35,564,40,225,6,0,9.22
276,2003,1,12,12,142,114,28,112,6,85,33,543,30,203,8,0,8.83
277,2003,1,12,13,200,123,77,278,15,81,34,552,40,225,6,0,9.99
278,2003,1,12,14,228,103,125,468,23,79,35,570,40,248,3,0,11.05
279,2003,1,12,15,172,94,78,352,18,82,35,571,40,225,5,0,10.54
280,2003,1,12,16,72,64,8,58,11,87,36,576,40,225,9,0,10.08
281,2003,1,12,17,17,13,4,124,11,88,36,582,40,225,6,0,10.08
282,2003,1,12,18,0,0,0,0,15,87,37,593,40,225,6,0,10.74
283,2003,1,12,19,0,0,0,0,12,85,35,567,50,203,6,0,9.93
284,2003,1,12,20,0,0,0,0,12,85,35,567,50,225,6,0,9.93
285,2003,1,12,21,0,0,0,0,11,86,35,569,50,225,6,0,9.83
286,2003,1,12,22,0,0,0,0,11,87,36,576,50,225,6,0,10.08
287,2003,1,12,23,0,0,0,0,15,86,36,586,60,225,6,0,10.49
288,2003,1,12,24,0,0,0,0,21,86,38,611,60,225,6,0,11.59
289,2003,1,13,1,0,0,0,0,27,84,39,623,70,225,9,0,12.45
290,2003,1,13,2,0,0,0,0,30,82,38,622,70,225,9,0,12.51
291,2003,1,13,3,0,0,0,0,31,87,41,664,60,225,9,2,13.36
292,2003,1,13,4,0,0,0,0,26,95,43,700,70,225,9,4,13.35
293,2003,1,13,5,0,0,0,0,27,97,45,720,60,248,9,12,13.95
294,2003,1,13,6,0,0,0,0,30,98,46,743,50,248,9,6,14.5
295,2003,1,13,7,0,0,0,0,36,99,48,783,50,248,9,0,15.61
296,2003,1,13,8,0,0,0,0,46,99,52,840,60,248,9,0,17.63
297,2003,1,13,9,0,0,0,0,52,98,54,867,50,248,9,0,18.74
298,2003,1,13,10,8,8,0,2,62,96,56,910,50,270,9,0,20.25
299,2003,1,13,11,28,27,1,4,69,94,58,935,50,270,9,0,21.47
300,2003,1,13,12,44,43,1,6,75,93,60,964,50,270,9,0,22.58
301,2003,1,13,13,58,56,2,8,78,92,60,974,40,270,9,0,22.88
302,2003,1,13,14,78,74,4,15,82,91,61,990,50,270,9,0,23.54
303,2003,1,13,15,89,83,6,28,84,90,62,992,60,270,9,0,23.99
304,2003,1,13,16,22,21,1,4,81,91,61,983,40,270,9,0,23.44
305,2003,1,13,17,0,0,0,0,84,90,62,992,50,270,9,0,23.99
306,2003,1,13,18,0,0,0,0,84,91,62,1003,50,270,9,0,23.99
307,2003,1,13,19,0,0,0,0,80,93,62,998,50,270,9,0,23.59
308,2003,1,13,20,0,0,0,0,83,92,62,1007,50,270,9,0,23.89
309,2003,1,13,21,0,0,0,0,84,91,62,1003,50,270,9,0,23.99
310,2003,1,13,22,0,0,0,0,83,91,62,996,50,270,9,0,23.89
311,2003,1,13,23,0,0,0,0,86,90,62,1006,40,270,9,0,24.2
312,2003,1,13,24,0,0,0,0,84,90,62,992,50,270,9,0,23.99
313,2003,1,14,1,0,0,0,0,75,93,60,964,40,248,9,0,22.58
314,2003,1,14,2,0,0,0,0,72,92,58,935,40,225,9,0,21.77
315,2003,1,14,3,0,0,0,0,72,91,57,924,40,248,9,0,21.52
316,2003,1,14,4,0,0,0,0,70,92,57,922,40,225,9,0,21.32
317,2003,1,14,5,0,0,0,0,65,93,56,900,40,225,9,1,20.56
318,2003,1,14,6,0,0,0,0,61,95,55,895,40,225,9,1,19.9
319,2003,1,14,7,0,0,0,0,62,97,57,920,50,225,9,0,20.5
320,2003,1,14,8,0,0,0,0,62,96,56,910,50,248,9,0,20.25
321,2003,1,14,9,0,0,0,0,65,95,57,920,50,248,9,0,20.81
322,2003,1,14,10,28,26,2,20,69,93,57,925,50,225,9,0,21.22
323,2003,1,14,11,50,48,2,13,71,92,58,928,60,248,9,0,21.67
324,2003,1,14,12,94,88,6,25,80,90,60,966,60,248,9,0,23.09
325,2003,1,14,13,72,69,3,12,82,90,61,979,50,248,9,0,23.54
326,2003,1,14,14,69,66,3,11,86,88,61,983,60,248,9,0,23.95
327,2003,1,14,15,61,58,3,13,85,87,60,966,60,248,9,0,23.6
328,2003,1,14,16,50,47,3,21,82,87,59,946,60,248,9,0,23.04
329,2003,1,14,17,6,6,0,5,79,88,58,938,50,225,9,0,22.48
330,2003,1,14,18,0,0,0,0,76,88,57,919,50,225,9,0,21.93
331,2003,1,14,19,0,0,0,0,76,84,54,877,50,225,9,0,21.18
332,2003,1,14,20,0,0,0,0,74,85,54,875,60,225,9,0,20.97
333,2003,1,14,21,0,0,0,0,70,88,55,882,60,225,9,0,20.82
334,2003,1,14,22,0,0,0,0,69,88,54,876,60,225,9,0,20.46
335,2003,1,14,23,0,0,0,0,68,86,53,850,70,225,9,0,20.11
336,2003,1,14,24,0,0,0,0,67,87,53,854,60,225,9,0,20.01
337,2003,1,15,1,0,0,0,0,66,85,51,829,60,225,9,0,19.41
338,2003,1,15,2,0,0,0,0,64,82,49,788,70,225,9,0,18.7
339,2003,1,15,3,0,0,0,0,65,81,49,784,60,225,9,0,18.81
340,2003,1,15,4,0,0,0,0,65,79,47,765,60,225,9,0,18.31
341,2003,1,15,5,0,0,0,0,61,79,46,744,60,225,9,0,17.65
342,2003,1,15,6,0,0,0,0,60,80,46,748,60,225,9,0,17.55
343,2003,1,15,7,0,0,0,0,60,79,46,739,60,225,9,0,17.55
344,2003,1,15,8,0,0,0,0,60,78,45,729,60,225,9,0,17.3
345,2003,1,15,9,0,0,0,0,59,79,45,734,70,225,9,0,17.2
346,2003,1,15,10,6,6,0,1,61,78,45,735,60,225,9,0,17.4
347,2003,1,15,11,17,17,0,1,62,77,45,730,80,225,9,0,17.5
348,2003,1,15,12,36,35,1,4,64,76,45,731,70,203,9,0,17.7
349,2003,1,15,13,150,131,19,68,73,72,46,736,70,203,9,0,18.87
350,2003,1,15,14,200,123,77,276,71,73,46,736,80,225,6,0,18.66
